date,season,team,opponent,venue,elo_before,elo_after
2025-05-18,2024-25,Arsenal,Newcastle,H,1832.8220428936622,1836.1552319927825
2025-05-25,2024-25,Arsenal,Southampton,A,1836.1552319927825,1837.038851056007
2025-08-17,2025-26,Arsenal,Man United,A,1820.1869085032065,1823.2253305228292
2025-08-23,2025-26,Arsenal,Leeds,H,1823.2253305228292,1827.435809913609
2025-08-31,2025-26,Arsenal,Liverpool,A,1827.435809913609,1821.8698754236495
2025-09-13,2025-26,Arsenal,Nott'm Forest,H,1821.8698754236495,1826.4845220441873
2025-09-21,2025-26,Arsenal,Man City,H,1826.4845220441873,1825.7750198629778
2025-09-28,2025-26,Arsenal,Newcastle,A,1825.7750198629778,1830.9578670425706
2025-10-04,2025-26,Arsenal,West Ham,H,1830.9578670425706,1832.9620923854036
2025-10-18,2025-26,Arsenal,Fulham,A,1832.9620923854036,1836.0942560215549
2025-10-26,2025-26,Arsenal,Crystal Palace,H,1836.0942560215549,1838.6372690954183
2025-11-01,2025-26,Arsenal,Burnley,A,1838.6372690954183,1841.7591599985
2025-11-08,2025-26,Arsenal,Sunderland,A,1841.7591599985,1839.6748388500444
2025-11-23,2025-26,Arsenal,Tottenham,H,1839.6748388500444,1844.7989494746635
2025-11-30,2025-26,Arsenal,Chelsea,A,1844.7989494746635,1844.0995501930024
2025-12-03,2025-26,Arsenal,Brentford,H,1844.0995501930024,1847.5251669999477
2025-12-06,2025-26,Arsenal,Aston Villa,A,1847.5251669999477,1838.122075565181
2025-12-13,2025-26,Arsenal,Wolves,H,1838.122075565181,1838.8880390330148
2025-12-20,2025-26,Arsenal,Everton,A,1838.8880390330148,1842.063977906605
2025-12-27,2025-26,Arsenal,Brighton,H,1842.063977906605,1844.3218823939064
2025-12-30,2025-26,Arsenal,Aston Villa,H,1844.3218823939064,1852.1633696378024
2026-01-03,2025-26,Arsenal,Bournemouth,A,1852.1633696378024,1855.2538034967893
2026-01-08,2025-26,Arsenal,Liverpool,H,1855.2538034967893,1854.119540130898
2026-01-17,2025-26,Arsenal,Nott'm Forest,A,1854.119540130898,1852.222755687803
2026-01-25,2025-26,Arsenal,Man United,H,1852.222755687803,1839.901294386419
2026-01-31,2025-26,Arsenal,Leeds,A,1839.901294386419,1846.802815948827
2026-02-07,2025-26,Arsenal,Sunderland,H,1846.802815948827,1849.7258148200651
2026-02-12,2025-26,Arsenal,Brentford,A,1849.7258148200651,1848.3745672274217
2026-02-18,2025-26,Arsenal,Wolves,A,1848.3745672274217,1845.9629945681
2026-02-22,2025-26,Arsenal,Tottenham,A,1845.9629945681,1853.0778341481273
2026-03-01,2025-26,Arsenal,Chelsea,H,1853.0778341481273,1856.2098850859531
2026-03-04,2025-26,Arsenal,Brighton,A,1856.2098850859531,1859.946633756757
2026-03-14,2025-26,Arsenal,Everton,H,1859.946633756757,1862.756577760124
2026-04-11,2025-26,Arsenal,Bournemouth,H,1862.756577760124,1850.3374300886044
2026-04-19,2025-26,Arsenal,Man City,A,1850.3374300886044,1844.3061622081298
2026-04-25,2025-26,Arsenal,Newcastle,H,1844.3061622081298,1846.54421143805
2026-05-02,2025-26,Arsenal,Fulham,H,1846.54421143805,1850.8317924256107
2026-05-10,2025-26,Arsenal,West Ham,A,1850.8317924256107,1853.0450869394977
2026-05-18,2025-26,Arsenal,Burnley,H,1853.0450869394977,1853.6449916388908
2026-05-24,2025-26,Arsenal,Crystal Palace,A,1853.6449916388908,1856.7181591554686
1993-08-14,1993-94,Aston Villa,QPR,H,1500.0,1510.6894313352166
1993-08-18,1993-94,Aston Villa,Sheffield Weds,A,1510.6894313352166,1511.661997974442
1993-08-21,1993-94,Aston Villa,Wimbledon,A,1511.661997974442,1512.7966232821477
1993-08-23,1993-94,Aston Villa,Man United,H,1512.7966232821477,1503.242354515358
1993-08-28,1993-94,Aston Villa,Tottenham,H,1503.242354515358,1507.9392312308519
1993-08-31,1993-94,Aston Villa,Everton,A,1507.9392312308519,1517.8203661567854
1993-09-11,1993-94,Aston Villa,Coventry,H,1517.8203661567854,1516.8186588091703
1993-09-18,1993-94,Aston Villa,Ipswich,A,1516.8186588091703,1526.488728243816
1993-09-25,1993-94,Aston Villa,Oldham,A,1526.488728243816,1527.005164812564
1993-10-02,1993-94,Aston Villa,Newcastle,H,1527.005164812564,1510.2086968611604
1993-10-16,1993-94,Aston Villa,West Ham,A,1510.2086968611604,1510.9716516964456
1993-10-23,1993-94,Aston Villa,Chelsea,H,1510.9716516964456,1515.1478511662501
1993-10-30,1993-94,Aston Villa,Swindon,A,1515.1478511662501,1522.8075373618408
1993-11-06,1993-94,Aston Villa,Arsenal,A,1522.8075373618408,1532.6064378122283
1993-11-20,1993-94,Aston Villa,Sheffield United,H,1532.6064378122283,1536.0584730313396
1993-11-24,1993-94,Aston Villa,Southampton,H,1536.0584730313396,1517.4224703620048
1993-11-28,1993-94,Aston Villa,Liverpool,A,1517.4224703620048,1513.1227748763276
1993-12-04,1993-94,Aston Villa,QPR,A,1513.1227748763276,1514.4547272110044
1993-12-08,1993-94,Aston Villa,Sheffield Weds,H,1514.4547272110044,1513.4115894348424
1993-12-11,1993-94,Aston Villa,Wimbledon,H,1513.4115894348424,1502.9808531841488
1993-12-19,1993-94,Aston Villa,Man United,A,1502.9808531841488,1498.4412171953138
1993-12-29,1993-94,Aston Villa,Norwich,A,1498.4412171953138,1509.469542906855
1994-01-01,1993-94,Aston Villa,Blackburn,H,1509.469542906855,1500.4754123998596
1994-01-15,1993-94,Aston Villa,West Ham,H,1500.4754123998596,1507.1737128284096
1994-01-22,1993-94,Aston Villa,Chelsea,A,1507.1737128284096,1507.9523876233804
1994-02-06,1993-94,Aston Villa,Leeds,H,1507.9523876233804,1513.1805264229874
1994-02-12,1993-94,Aston Villa,Swindon,H,1513.1805264229874,1522.658184818543
1994-02-22,1993-94,Aston Villa,Man City,H,1522.658184818543,1520.9774690527274
1994-03-02,1993-94,Aston Villa,Tottenham,A,1520.9774690527274,1521.599840881969
1994-03-06,1993-94,Aston Villa,Coventry,A,1521.599840881969,1530.6280084580612
1994-03-12,1993-94,Aston Villa,Ipswich,H,1530.6280084580612,1519.5397365760007
1994-03-16,1993-94,Aston Villa,Leeds,A,1519.5397365760007,1512.9002531314204
1994-03-19,1993-94,Aston Villa,Oldham,H,1512.9002531314204,1501.441989576086
1994-03-30,1993-94,Aston Villa,Everton,H,1501.441989576086,1499.808183882494
1994-04-02,1993-94,Aston Villa,Man City,A,1499.808183882494,1486.272863816857
1994-04-04,1993-94,Aston Villa,Norwich,H,1486.272863816857,1485.411599935858
1994-04-11,1993-94,Aston Villa,Blackburn,A,1485.411599935858,1482.8790642240606
