date,season,team,opponent,venue,elo_before,elo_after
2016-08-21,2016-17,Middlesbrough,Sunderland,A,1440.0995929324065,1449.6081674127338
2016-08-28,2016-17,Middlesbrough,West Brom,A,1449.6081674127338,1450.4834609874204
2016-09-10,2016-17,Middlesbrough,Crystal Palace,H,1450.4834609874204,1442.0725470185623
2016-09-17,2016-17,Middlesbrough,Everton,A,1442.0725470185623,1437.1902990439285
2016-09-24,2016-17,Middlesbrough,Tottenham,H,1437.1902990439285,1433.6420334747804
2016-10-01,2016-17,Middlesbrough,West Ham,A,1433.6420334747804,1435.0736218940297
2016-10-16,2016-17,Middlesbrough,Watford,H,1435.0736218940297,1427.3317807940878
2016-10-22,2016-17,Middlesbrough,Arsenal,A,1427.3317807940878,1429.8255218953
2016-10-29,2016-17,Middlesbrough,Bournemouth,H,1429.8255218953,1440.4270200346116
2016-11-05,2016-17,Middlesbrough,Man City,A,1440.4270200346116,1442.9194233735407
2016-11-20,2016-17,Middlesbrough,Chelsea,H,1442.9194233735407,1439.8498256374276
2016-11-26,2016-17,Middlesbrough,Leicester,A,1439.8498256374276,1441.71178682942
2016-12-05,2016-17,Middlesbrough,Hull,H,1441.71178682942,1446.5034008950045
2016-12-11,2016-17,Middlesbrough,Southampton,A,1446.5034008950045,1443.816615807844
2016-12-14,2016-17,Middlesbrough,Liverpool,H,1443.816615807844,1434.9218444385497
2016-12-17,2016-17,Middlesbrough,Swansea,H,1434.9218444385497,1450.4211147911224
2016-12-26,2016-17,Middlesbrough,Burnley,A,1450.4211147911224,1444.599415360116
2016-12-31,2016-17,Middlesbrough,Man United,A,1444.599415360116,1442.840600059377
2017-01-02,2016-17,Middlesbrough,Leicester,H,1442.840600059377,1443.4699927930083
2017-01-14,2016-17,Middlesbrough,Watford,A,1443.4699927930083,1444.2830791110725
2017-01-21,2016-17,Middlesbrough,West Ham,H,1444.2830791110725,1433.161641171737
2017-01-31,2016-17,Middlesbrough,West Brom,H,1433.161641171737,1433.2147511214885
2017-02-04,2016-17,Middlesbrough,Tottenham,A,1433.2147511214885,1431.9923431633133
2017-02-11,2016-17,Middlesbrough,Everton,H,1431.9923431633133,1433.0410241380778
2017-02-25,2016-17,Middlesbrough,Crystal Palace,A,1433.0410241380778,1427.4910167861806
2017-03-04,2016-17,Middlesbrough,Stoke,A,1427.4910167861806,1421.1590309350227
2017-03-19,2016-17,Middlesbrough,Man United,H,1421.1590309350227,1416.0889355707961
2017-04-02,2016-17,Middlesbrough,Swansea,A,1416.0889355707961,1417.0477189349037
2017-04-05,2016-17,Middlesbrough,Hull,A,1417.0477189349037,1407.8252695666029
2017-04-08,2016-17,Middlesbrough,Burnley,H,1407.8252695666029,1407.5815404470675
2017-04-17,2016-17,Middlesbrough,Arsenal,H,1407.5815404470675,1404.5049935605077
2017-04-22,2016-17,Middlesbrough,Bournemouth,A,1404.5049935605077,1390.0476535195157
2017-04-26,2016-17,Middlesbrough,Sunderland,H,1390.0476535195157,1395.8286565978358
2017-04-30,2016-17,Middlesbrough,Man City,H,1395.8286565978358,1397.8751599966504
2017-05-08,2016-17,Middlesbrough,Chelsea,A,1397.8751599966504,1395.9597692492246
2017-05-13,2016-17,Middlesbrough,Southampton,H,1395.9597692492246,1390.86391991004
2017-05-21,2016-17,Middlesbrough,Liverpool,A,1390.86391991004,1388.059775347382
1993-08-14,1993-94,Newcastle,Tottenham,H,1500.0,1490.2238668654095
1993-08-18,1993-94,Newcastle,Coventry,A,1490.2238668654095,1486.2933501051825
1993-08-21,1993-94,Newcastle,Man United,A,1486.2933501051825,1487.6901432031848
1993-08-25,1993-94,Newcastle,Everton,H,1487.6901432031848,1492.9125275326178
1993-08-29,1993-94,Newcastle,Blackburn,H,1492.9125275326178,1492.0068270933618
1993-08-31,1993-94,Newcastle,Ipswich,A,1492.0068270933618,1493.3694287094233
1993-09-13,1993-94,Newcastle,Sheffield Weds,H,1493.3694287094233,1500.2947265409118
1993-09-18,1993-94,Newcastle,Swindon,A,1500.2947265409118,1500.7820981895463
1993-09-25,1993-94,Newcastle,West Ham,H,1500.7820981895463,1507.2778695468298
1993-10-02,1993-94,Newcastle,Aston Villa,A,1507.2778695468298,1524.0743374982335
1993-10-16,1993-94,Newcastle,QPR,H,1524.0743374982335,1513.9993760199159
1993-10-24,1993-94,Newcastle,Southampton,A,1513.9993760199159,1508.1727973280015
1993-10-30,1993-94,Newcastle,Wimbledon,H,1508.1727973280015,1521.5832624146929
1993-11-08,1993-94,Newcastle,Oldham,A,1521.5832624146929,1535.876777643079
1993-11-21,1993-94,Newcastle,Liverpool,H,1535.876777643079,1546.7142931366263
1993-11-24,1993-94,Newcastle,Sheffield United,H,1546.7142931366263,1556.7562900376251
1993-11-27,1993-94,Newcastle,Arsenal,A,1556.7562900376251,1551.7716443723825
1993-12-04,1993-94,Newcastle,Tottenham,A,1551.7716443723825,1560.8194231423788
1993-12-11,1993-94,Newcastle,Man United,H,1560.8194231423788,1560.153327271961
1993-12-18,1993-94,Newcastle,Everton,A,1560.153327271961,1573.5538252792082
1993-12-22,1993-94,Newcastle,Leeds,H,1573.5538252792082,1572.28533169208
1993-12-28,1993-94,Newcastle,Chelsea,A,1572.28533169208,1565.0965892139623
1994-01-01,1993-94,Newcastle,Man City,H,1565.0965892139623,1569.7113870706592
1994-01-04,1993-94,Newcastle,Norwich,A,1569.7113870706592,1579.5318946059779
1994-01-16,1993-94,Newcastle,QPR,A,1579.5318946059779,1588.633931339797
1994-01-22,1993-94,Newcastle,Southampton,H,1588.633931339797,1576.576998166551
1994-02-12,1993-94,Newcastle,Wimbledon,A,1576.576998166551,1565.4902087294797
1994-02-19,1993-94,Newcastle,Blackburn,A,1565.4902087294797,1561.455830889484
1994-02-23,1993-94,Newcastle,Coventry,H,1561.455830889484,1572.18157474192
1994-03-05,1993-94,Newcastle,Sheffield Weds,A,1572.18157474192,1581.9947027929504
1994-03-12,1993-94,Newcastle,Swindon,H,1581.9947027929504,1589.677624474591
1994-03-19,1993-94,Newcastle,West Ham,A,1589.677624474591,1601.987827981341
1994-03-22,1993-94,Newcastle,Ipswich,H,1601.987827981341,1606.0037911809927
1994-03-29,1993-94,Newcastle,Norwich,H,1606.0037911809927,1614.0340350707143
1994-04-01,1993-94,Newcastle,Leeds,A,1614.0340350707143,1614.6562427636252
1994-04-04,1993-94,Newcastle,Chelsea,H,1614.6562427636252,1612.6991202103986
1994-04-09,1993-94,Newcastle,Man City,A,1612.6991202103986,1605.1744393047645
1994-04-16,1993-94,Newcastle,Liverpool,A,1605.1744393047645,1619.014785689461
1994-04-23,1993-94,Newcastle,Oldham,H,1619.014785689461,1620.9912138764362
1994-04-27,1993-94,Newcastle,Aston Villa,H,1620.9912138764362,1628.768681770771
1994-04-30,1993-94,Newcastle,Sheffield United,A,1628.768681770771,1615.1055257153935
1994-05-07,1993-94,Newcastle,Arsenal,H,1615.1055257153935,1622.4835966920236
1994-08-21,1994-95,Newcastle,Leicester,A,1616.3594168574225,1626.4354773877417
1994-08-24,1994-95,Newcastle,Coventry,H,1626.4354773877417,1635.1167506096967
1994-08-27,1994-95,Newcastle,Southampton,H,1635.1167506096967,1641.1221008667824
1994-08-31,1994-95,Newcastle,West Ham,A,1641.1221008667824,1651.0595244005747
1994-09-10,1994-95,Newcastle,Chelsea,H,1651.0595244005747,1655.2940190357021
1994-09-18,1994-95,Newcastle,Arsenal,A,1655.2940190357021,1663.5569613326
1994-09-24,1994-95,Newcastle,Liverpool,H,1663.5569613326,1661.8294189015012
1994-10-01,1994-95,Newcastle,Aston Villa,A,1661.8294189015012,1671.539822272354
1994-10-09,1994-95,Newcastle,Blackburn,H,1671.539822272354,1670.1400625875215
1994-10-15,1994-95,Newcastle,Crystal Palace,A,1670.1400625875215,1674.5518167627938
1994-10-22,1994-95,Newcastle,Sheffield Weds,H,1674.5518167627938,1677.286820621929
1994-10-29,1994-95,Newcastle,Man United,A,1677.286820621929,1669.2786075354816
1994-11-05,1994-95,Newcastle,QPR,H,1669.2786075354816,1671.2444082493812
1994-11-07,1994-95,Newcastle,Nott'm Forest,A,1671.2444082493812,1670.9353351041655
1994-11-19,1994-95,Newcastle,Wimbledon,A,1670.9353351041655,1662.6309240285984
1994-11-26,1994-95,Newcastle,Ipswich,H,1662.6309240285984,1660.1168670765696
1994-12-03,1994-95,Newcastle,Tottenham,A,1660.1168670765696,1645.0456934863837
1994-12-10,1994-95,Newcastle,Leicester,H,1645.0456934863837,1647.589329839528
1994-12-17,1994-95,Newcastle,Coventry,A,1647.589329839528,1647.1254380035336
1994-12-26,1994-95,Newcastle,Leeds,A,1647.1254380035336,1647.631301050013
1994-12-31,1994-95,Newcastle,Norwich,A,1647.631301050013,1640.128113274939
1995-01-02,1994-95,Newcastle,Man City,H,1640.128113274939,1638.04131455379
1995-01-15,1994-95,Newcastle,Man United,H,1638.04131455379,1637.4580909140168
1995-01-21,1994-95,Newcastle,Sheffield Weds,A,1637.4580909140168,1637.7819461885767
1995-01-25,1994-95,Newcastle,Wimbledon,H,1637.7819461885767,1640.4784428756423
1995-02-01,1994-95,Newcastle,Everton,H,1640.4784428756423,1643.324877520967
1995-02-04,1994-95,Newcastle,QPR,A,1643.324877520967,1624.908872281033
1995-02-11,1994-95,Newcastle,Nott'm Forest,H,1624.908872281033,1627.8402977153698
1995-02-25,1994-95,Newcastle,Aston Villa,H,1627.8402977153698,1632.4740820750221
1995-02-28,1994-95,Newcastle,Ipswich,A,1632.4740820750221,1639.2459930060286
1995-03-04,1994-95,Newcastle,Liverpool,A,1639.2459930060286,1630.3062007081262
1995-03-08,1994-95,Newcastle,West Ham,H,1630.3062007081262,1633.5796819669736
1995-03-19,1994-95,Newcastle,Arsenal,H,1633.5796819669736,1636.9511053932943
1995-03-22,1994-95,Newcastle,Southampton,A,1636.9511053932943,1622.062520977118
1995-04-01,1994-95,Newcastle,Chelsea,A,1622.062520977118,1621.6826565986578
1995-04-08,1994-95,Newcastle,Norwich,H,1621.6826565986578,1627.1300920155222
1995-04-14,1994-95,Newcastle,Everton,A,1627.1300920155222,1612.9632180244469
1995-04-17,1994-95,Newcastle,Leeds,H,1612.9632180244469,1603.2240994045856
1995-04-29,1994-95,Newcastle,Man City,A,1603.2240994045856,1603.0198768244124
1995-05-03,1994-95,Newcastle,Tottenham,H,1603.0198768244124,1601.4988821116096
1995-05-08,1994-95,Newcastle,Blackburn,A,1601.4988821116096,1597.9927752855049
1995-05-14,1994-95,Newcastle,Crystal Palace,H,1597.9927752855049,1600.0847734222343
1995-08-19,1995-96,Newcastle,Coventry,H,1595.0805347511225,1601.4772679460805
1995-08-22,1995-96,Newcastle,Bolton,A,1601.4772679460805,1611.6899552557345
1995-08-27,1995-96,Newcastle,Sheffield Weds,A,1611.6899552557345,1623.3942103190795
1995-08-30,1995-96,Newcastle,Middlesbrough,H,1623.3942103190795,1625.650781175067
1995-09-09,1995-96,Newcastle,Southampton,A,1625.650781175067,1617.6604078865757
1995-09-16,1995-96,Newcastle,Man City,H,1617.6604078865757,1620.9426669413992
1995-09-24,1995-96,Newcastle,Chelsea,H,1620.9426669413992,1625.360699548824
1995-10-01,1995-96,Newcastle,Everton,A,1625.360699548824,1635.5030736579301
1995-10-14,1995-96,Newcastle,QPR,A,1635.5030736579301,1642.2357611520922
1995-10-21,1995-96,Newcastle,Wimbledon,H,1642.2357611520922,1651.0319082151755
1995-10-29,1995-96,Newcastle,Tottenham,A,1651.0319082151755,1650.9250840409723
1995-11-04,1995-96,Newcastle,Liverpool,H,1650.9250840409723,1655.3718594221637
1995-11-08,1995-96,Newcastle,Blackburn,H,1655.3718594221637,1659.4887552659625
1995-11-18,1995-96,Newcastle,Aston Villa,A,1659.4887552659625,1659.386807471621
1995-11-25,1995-96,Newcastle,Leeds,H,1659.386807471621,1663.2066721945462
1995-12-03,1995-96,Newcastle,Wimbledon,A,1663.2066721945462,1662.2995755182092
1995-12-09,1995-96,Newcastle,Chelsea,A,1662.2995755182092,1653.8134771656482
1995-12-16,1995-96,Newcastle,Everton,H,1653.8134771656482,1656.118923210814
1995-12-23,1995-96,Newcastle,Nott'm Forest,H,1656.118923210814,1662.383034272939
1995-12-27,1995-96,Newcastle,Man United,A,1662.383034272939,1655.694462857915
1996-01-02,1995-96,Newcastle,Arsenal,H,1655.694462857915,1661.5344767057734
1996-01-14,1995-96,Newcastle,Coventry,A,1661.5344767057734,1666.580194962581
1996-01-20,1995-96,Newcastle,Bolton,H,1666.580194962581,1667.7584454497855
1996-02-03,1995-96,Newcastle,Sheffield Weds,H,1667.7584454497855,1671.4211535094585
1996-02-10,1995-96,Newcastle,Middlesbrough,A,1671.4211535094585,1676.2865730119236
1996-02-21,1995-96,Newcastle,West Ham,A,1676.2865730119236,1662.1249893349366
1996-02-24,1995-96,Newcastle,Man City,A,1662.1249893349366,1661.0382489608244
1996-03-04,1995-96,Newcastle,Man United,H,1661.0382489608244,1652.8851639135644
1996-03-18,1995-96,Newcastle,West Ham,H,1652.8851639135644,1658.8474272342255
1996-03-23,1995-96,Newcastle,Arsenal,A,1658.8474272342255,1649.0600344453544
1996-04-03,1995-96,Newcastle,Liverpool,A,1649.0600344453544,1644.7549385731916
1996-04-06,1995-96,Newcastle,QPR,H,1644.7549385731916,1646.751456099574
1996-04-08,1995-96,Newcastle,Blackburn,A,1646.751456099574,1640.8009344168527
1996-04-14,1995-96,Newcastle,Aston Villa,H,1640.8009344168527,1644.4703618815092
1996-04-17,1995-96,Newcastle,Southampton,H,1644.4703618815092,1646.4031895454182
1996-04-29,1995-96,Newcastle,Leeds,A,1646.4031895454182,1652.8937414088532
1996-05-02,1995-96,Newcastle,Nott'm Forest,A,1652.8937414088532,1653.0118347950986
1996-05-04,1995-96,Newcastle,Tottenham,H,1653.0118347950986,1651.440040836519
1996-08-17,1996-97,Newcastle,Everton,A,1643.8680387946931,1633.38524996116
1996-08-21,1996-97,Newcastle,Wimbledon,H,1633.38524996116,1636.948457738173
1996-08-24,1996-97,Newcastle,Sheffield Weds,H,1636.948457738173,1625.0177992036945
1996-09-04,1996-97,Newcastle,Sunderland,A,1625.0177992036945,1631.3003807292616
1996-09-07,1996-97,Newcastle,Tottenham,A,1631.3003807292616,1639.5894510999929
1996-09-14,1996-97,Newcastle,Blackburn,H,1639.5894510999929,1643.416974254507
1996-09-21,1996-97,Newcastle,Leeds,A,1643.416974254507,1649.1519429150603
1996-09-30,1996-97,Newcastle,Aston Villa,H,1649.1519429150603,1652.59324306811
1996-10-12,1996-97,Newcastle,Derby,A,1652.59324306811,1657.7891029362156
1996-10-20,1996-97,Newcastle,Man United,H,1657.7891029362156,1685.1019795868258
1996-10-26,1996-97,Newcastle,Leicester,A,1685.1019795868258,1668.4783333079922
1996-11-03,1996-97,Newcastle,Middlesbrough,H,1668.4783333079922,1670.9172138646854
1996-11-16,1996-97,Newcastle,West Ham,H,1670.9172138646854,1668.7631042349676
1996-11-23,1996-97,Newcastle,Chelsea,A,1668.7631042349676,1668.5966040486305
1996-11-30,1996-97,Newcastle,Arsenal,H,1668.5966040486305,1658.8492028506585
1996-12-09,1996-97,Newcastle,Nott'm Forest,A,1658.8492028506585,1658.2901256726232
1996-12-17,1996-97,Newcastle,Coventry,A,1658.2901256726232,1648.2851421224495
1996-12-23,1996-97,Newcastle,Liverpool,H,1648.2851421224495,1647.6645057246456
1996-12-26,1996-97,Newcastle,Blackburn,A,1647.6645057246456,1641.262553219889
1996-12-28,1996-97,Newcastle,Tottenham,H,1641.262553219889,1658.480706460123
1997-01-01,1996-97,Newcastle,Leeds,H,1658.480706460123,1663.3006725853447
1997-01-11,1996-97,Newcastle,Aston Villa,A,1663.3006725853447,1663.5276933977188
1997-01-18,1996-97,Newcastle,Southampton,A,1663.5276933977188,1662.6178470148495
1997-01-29,1996-97,Newcastle,Everton,H,1662.6178470148495,1668.6962625787885
1997-02-02,1996-97,Newcastle,Leicester,H,1668.6962625787885,1670.3846692791415
1997-02-22,1996-97,Newcastle,Middlesbrough,A,1670.3846692791415,1674.3260447880111
1997-03-01,1996-97,Newcastle,Southampton,H,1674.3260447880111,1661.6679526518456
1997-03-10,1996-97,Newcastle,Liverpool,A,1661.6679526518456,1657.328732801713
1997-03-15,1996-97,Newcastle,Coventry,H,1657.328732801713,1663.082978825151
1997-03-23,1996-97,Newcastle,Wimbledon,A,1663.082978825151,1662.8592757799574
1997-04-05,1996-97,Newcastle,Sunderland,H,1662.8592757799574,1660.5263943895325
1997-04-13,1996-97,Newcastle,Sheffield Weds,A,1660.5263943895325,1660.3128972753605
1997-04-16,1996-97,Newcastle,Chelsea,H,1660.3128972753605,1664.5149793091953
1997-04-19,1996-97,Newcastle,Derby,H,1664.5149793091953,1667.4062726352258
1997-05-03,1996-97,Newcastle,Arsenal,A,1667.4062726352258,1676.8088432112459
1997-05-06,1996-97,Newcastle,West Ham,A,1676.8088432112459,1676.0731742433209
1997-05-08,1996-97,Newcastle,Man United,A,1676.0731742433209,1677.558245807351
1997-05-11,1996-97,Newcastle,Nott'm Forest,H,1677.558245807351,1684.3949660544397
1997-08-09,1997-98,Newcastle,Sheffield Weds,H,1675.1752177517178,1677.4467897815027
1997-08-23,1997-98,Newcastle,Aston Villa,H,1677.4467897815027,1680.2418176927224
1997-09-13,1997-98,Newcastle,Wimbledon,H,1680.2418176927224,1660.0437011348292
1997-09-20,1997-98,Newcastle,West Ham,A,1660.0437011348292,1665.9581949172525
1997-09-24,1997-98,Newcastle,Everton,H,1665.9581949172525,1667.9483240019083
1997-09-27,1997-98,Newcastle,Chelsea,A,1667.9483240019083,1661.3280645550292
1997-10-04,1997-98,Newcastle,Tottenham,H,1661.3280645550292,1663.825376710156
1997-10-18,1997-98,Newcastle,Leeds,A,1663.825376710156,1644.0161971747887
1997-10-25,1997-98,Newcastle,Blackburn,H,1644.0161971747887,1642.758399141964
1997-11-01,1997-98,Newcastle,Leicester,H,1642.758399141964,1640.9232115247048
1997-11-08,1997-98,Newcastle,Coventry,A,1640.9232115247048,1640.240291374854
1997-11-22,1997-98,Newcastle,Southampton,H,1640.240291374854,1642.5652942224244
1997-11-29,1997-98,Newcastle,Crystal Palace,A,1642.5652942224244,1648.3062158899443
1997-12-01,1997-98,Newcastle,Bolton,A,1648.3062158899443,1638.846100105858
1997-12-06,1997-98,Newcastle,Arsenal,H,1638.846100105858,1629.6863886750884
1997-12-13,1997-98,Newcastle,Barnsley,A,1629.6863886750884,1628.4088650939236
1997-12-17,1997-98,Newcastle,Derby,H,1628.4088650939236,1626.640140827717
1997-12-21,1997-98,Newcastle,Man United,H,1626.640140827717,1620.4067015161686
1997-12-26,1997-98,Newcastle,Derby,A,1620.4067015161686,1613.0848942964876
1997-12-28,1997-98,Newcastle,Liverpool,H,1613.0848942964876,1604.8924373556092
1998-01-10,1997-98,Newcastle,Sheffield Weds,A,1604.8924373556092,1597.0192597850807
1998-01-17,1997-98,Newcastle,Bolton,H,1597.0192597850807,1599.2738524574538
1998-01-20,1997-98,Newcastle,Liverpool,A,1599.2738524574538,1595.7054698519419
1998-02-01,1997-98,Newcastle,Aston Villa,A,1595.7054698519419,1603.6455238823812
1998-02-07,1997-98,Newcastle,West Ham,H,1603.6455238823812,1592.5702217978405
1998-02-22,1997-98,Newcastle,Leeds,H,1592.5702217978405,1591.195665813488
1998-02-28,1997-98,Newcastle,Everton,A,1591.195665813488,1591.0358766869638
1998-03-14,1997-98,Newcastle,Coventry,H,1591.0358766869638,1589.5144568269438
1998-03-18,1997-98,Newcastle,Crystal Palace,H,1589.5144568269438,1577.0122932477395
1998-03-28,1997-98,Newcastle,Southampton,A,1577.0122932477395,1570.5054108503657
1998-03-31,1997-98,Newcastle,Wimbledon,A,1570.5054108503657,1570.8135828857914
1998-04-11,1997-98,Newcastle,Arsenal,A,1570.8135828857914,1565.569072878321
1998-04-13,1997-98,Newcastle,Barnsley,H,1565.569072878321,1567.7666029653658
1998-04-18,1997-98,Newcastle,Man United,A,1567.7666029653658,1569.818506209193
1998-04-25,1997-98,Newcastle,Tottenham,A,1569.818506209193,1558.3049319368913
1998-04-29,1997-98,Newcastle,Leicester,A,1558.3049319368913,1559.0525855907072
1998-05-02,1997-98,Newcastle,Chelsea,H,1559.0525855907072,1568.6538645806438
1998-05-10,1997-98,Newcastle,Blackburn,A,1568.6538645806438,1562.839235374978
1998-08-15,1998-99,Newcastle,Charlton,H,1559.6972736062291,1557.9812573238578
1998-08-22,1998-99,Newcastle,Chelsea,A,1557.9812573238578,1559.0741762844043
1998-08-30,1998-99,Newcastle,Liverpool,H,1559.0741762844043,1542.2658945133146
1998-09-09,1998-99,Newcastle,Aston Villa,A,1542.2658945133146,1537.912254327593
1998-09-12,1998-99,Newcastle,Southampton,H,1537.912254327593,1548.4922421515878
1998-09-19,1998-99,Newcastle,Coventry,A,1548.4922421515878,1575.0303624621793
1998-09-26,1998-99,Newcastle,Nott'm Forest,H,1575.0303624621793,1579.6574322660504
1998-10-04,1998-99,Newcastle,Arsenal,A,1579.6574322660504,1572.0629651200265
1998-10-17,1998-99,Newcastle,Derby,H,1572.0629651200265,1575.6286282545725
1998-10-24,1998-99,Newcastle,Tottenham,A,1575.6286282545725,1563.9331778686487
1998-10-31,1998-99,Newcastle,West Ham,H,1563.9331778686487,1539.0718774858244
1998-11-08,1998-99,Newcastle,Man United,A,1539.0718774858244,1541.2923148828188
1998-11-14,1998-99,Newcastle,Sheffield Weds,H,1541.2923148828188,1539.8190740504463
1998-11-23,1998-99,Newcastle,Everton,A,1539.8190740504463,1532.7828694203001
1998-11-28,1998-99,Newcastle,Wimbledon,H,1532.7828694203001,1539.7047247226717
1998-12-06,1998-99,Newcastle,Middlesbrough,A,1539.7047247226717,1540.252437870553
1998-12-12,1998-99,Newcastle,Blackburn,A,1540.252437870553,1540.607151217069
1998-12-19,1998-99,Newcastle,Leicester,H,1540.607151217069,1545.4447781527897
1998-12-26,1998-99,Newcastle,Leeds,H,1545.4447781527897,1525.847888326881
1998-12-28,1998-99,Newcastle,Liverpool,A,1525.847888326881,1520.978602332838
1999-01-09,1998-99,Newcastle,Chelsea,H,1520.978602332838,1514.1147581163011
1999-01-17,1998-99,Newcastle,Charlton,A,1514.1147581163011,1514.1879420223938
1999-01-30,1998-99,Newcastle,Aston Villa,H,1514.1879420223938,1521.1137674068445
1999-02-06,1998-99,Newcastle,Leeds,A,1521.1137674068445,1531.5980472849296
1999-02-17,1998-99,Newcastle,Coventry,H,1531.5980472849296,1541.3874412963903
1999-02-20,1998-99,Newcastle,Southampton,A,1541.3874412963903,1534.259381687502
1999-02-28,1998-99,Newcastle,Arsenal,H,1534.259381687502,1535.0038635594185
1999-03-10,1998-99,Newcastle,Nott'm Forest,A,1535.0038635594185,1540.8479529361489
1999-03-13,1998-99,Newcastle,Man United,H,1540.8479529361489,1536.266020821364
1999-03-20,1998-99,Newcastle,West Ham,A,1536.266020821364,1526.773296862261
1999-04-03,1998-99,Newcastle,Derby,A,1526.773296862261,1535.5081143301593
1999-04-05,1998-99,Newcastle,Tottenham,H,1535.5081143301593,1534.305394313017
1999-04-17,1998-99,Newcastle,Everton,H,1534.305394313017,1516.4927381515338
1999-04-21,1998-99,Newcastle,Sheffield Weds,A,1516.4927381515338,1517.2924241906153
1999-04-24,1998-99,Newcastle,Wimbledon,A,1517.2924241906153,1517.550047592259
1999-05-01,1998-99,Newcastle,Middlesbrough,H,1517.550047592259,1516.405789181376
1999-05-08,1998-99,Newcastle,Leicester,A,1516.405789181376,1507.8719409668342
1999-05-16,1998-99,Newcastle,Blackburn,H,1507.8719409668342,1506.5862563958265
1999-08-07,1999-00,Newcastle,Aston Villa,H,1506.2569435760352,1497.4761499427657
1999-08-09,1999-00,Newcastle,Tottenham,A,1497.4761499427657,1488.9887921088325
1999-08-15,1999-00,Newcastle,Southampton,A,1488.9887921088325,1479.4666396299735
1999-08-21,1999-00,Newcastle,Wimbledon,H,1479.4666396299735,1478.1642015273874
1999-08-25,1999-00,Newcastle,Sunderland,H,1478.1642015273874,1468.3214308314914
1999-08-30,1999-00,Newcastle,Man United,A,1468.3214308314914,1464.8327492682079
1999-09-11,1999-00,Newcastle,Chelsea,A,1464.8327492682079,1462.8813597889289
1999-09-19,1999-00,Newcastle,Sheffield Weds,H,1462.8813597889289,1494.3381578233814
1999-09-25,1999-00,Newcastle,Leeds,A,1494.3381578233814,1491.8350028403377
1999-10-03,1999-00,Newcastle,Middlesbrough,H,1491.8350028403377,1496.3627406650035
1999-10-16,1999-00,Newcastle,Coventry,A,1496.3627406650035,1483.4428729239653
1999-10-25,1999-00,Newcastle,Derby,H,1483.4428729239653,1490.1832675806847
1999-10-30,1999-00,Newcastle,Arsenal,A,1490.1832675806847,1492.5208829689825
1999-11-07,1999-00,Newcastle,Everton,H,1492.5208829689825,1491.83155300044
1999-11-20,1999-00,Newcastle,Watford,A,1491.83155300044,1491.949822289611
1999-11-28,1999-00,Newcastle,Tottenham,H,1491.949822289611,1498.0446357550848
1999-12-04,1999-00,Newcastle,Aston Villa,A,1498.0446357550848,1507.5584058793056
1999-12-18,1999-00,Newcastle,Bradford,A,1507.5584058793056,1495.7585452779956
1999-12-26,1999-00,Newcastle,Liverpool,H,1495.7585452779956,1496.1676662494535
1999-12-28,1999-00,Newcastle,Leicester,A,1496.1676662494535,1505.8029283995313
2000-01-03,1999-00,Newcastle,West Ham,H,1505.8029283995313,1505.0018730097804
2000-01-16,1999-00,Newcastle,Southampton,H,1505.0018730097804,1520.515848362054
2000-01-22,1999-00,Newcastle,Wimbledon,A,1520.515848362054,1509.190596143275
2000-02-05,1999-00,Newcastle,Sunderland,A,1509.190596143275,1510.125616218711
2000-02-12,1999-00,Newcastle,Man United,H,1510.125616218711,1534.8556182555399
2000-02-26,1999-00,Newcastle,Sheffield Weds,A,1534.8556182555399,1546.2290024235162
2000-03-04,1999-00,Newcastle,Chelsea,H,1546.2290024235162,1539.3551638447473
2000-03-11,1999-00,Newcastle,Watford,H,1539.3551638447473,1541.4516629729553
2000-03-19,1999-00,Newcastle,Everton,A,1541.4516629729553,1557.5707374048452
2000-03-25,1999-00,Newcastle,Liverpool,A,1557.5707374048452,1554.369358449496
2000-04-01,1999-00,Newcastle,Bradford,H,1554.369358449496,1558.6317161730176
2000-04-12,1999-00,Newcastle,West Ham,A,1558.6317161730176,1552.3214464869711
2000-04-15,1999-00,Newcastle,Leicester,H,1552.3214464869711,1535.347343607102
2000-04-23,1999-00,Newcastle,Leeds,H,1535.347343607102,1535.209069643171
2000-04-29,1999-00,Newcastle,Coventry,H,1535.209069643171,1541.7619547378433
2000-05-02,1999-00,Newcastle,Middlesbrough,A,1541.7619547378433,1542.0629623596594
2000-05-06,1999-00,Newcastle,Derby,A,1542.0629623596594,1542.283473250084
2000-05-14,1999-00,Newcastle,Arsenal,H,1542.283473250084,1558.169202079104
2000-08-20,2000-01,Newcastle,Man United,A,1555.260741975149,1552.3646946313913
2000-08-23,2000-01,Newcastle,Derby,H,1552.3646946313913,1555.8678452929205
2000-08-26,2000-01,Newcastle,Tottenham,H,1555.8678452929205,1563.7232446211838
2000-09-06,2000-01,Newcastle,Coventry,A,1563.7232446211838,1575.8709621901917
2000-09-09,2000-01,Newcastle,Chelsea,H,1575.8709621901917,1575.6506430398078
2000-09-16,2000-01,Newcastle,Southampton,A,1575.6506430398078,1562.3514058540707
2000-09-23,2000-01,Newcastle,Charlton,H,1562.3514058540707,1551.3261316174733
2000-09-30,2000-01,Newcastle,Man City,A,1551.3261316174733,1558.2309724100398
2000-10-16,2000-01,Newcastle,Middlesbrough,A,1558.2309724100398,1571.6798724009402
2000-10-21,2000-01,Newcastle,Everton,H,1571.6798724009402,1561.389778041894
